model,source,task,rmse,mae,directional_accuracy,mape,qlike
0,NB07,vol_5d,0.1968925916221368,0.1361412616242141,44.357366771159874,,
1,NB07,vol_5d,0.2175555114796405,0.1574344387191297,49.21630094043887,,
2,NB07,vol_5d,0.2051890544650283,0.148239262547931,52.97805642633229,,
3,NB07,vol_5d,0.2137809447255419,0.1584268168939887,51.88087774294671,,
4,NB07,vol_5d,0.2211215148450131,0.164222211854483,54.2319749216301,,
5,NB07,vol_5d,0.2202078678768681,0.1523732326581964,46.86520376175549,,
6,NB07,vol_5d,0.2311146064443697,0.1471833234169867,42.78996865203762,,
7,NB07,vol_5d,0.2369743469921273,0.1443770122634144,52.03761755485894,,
8,NB07,vol_5d,0.2218783974716281,0.1452750581579851,52.19435736677116,,
9,NB07,vol_5d,0.2252916119153649,0.1529549914245788,55.64263322884012,,
10,NB07,vol_5d,0.2337801383491398,0.1583176550654388,52.82131661442007,,
11,NB07,vol_5d,0.238333471276923,0.1546970751539302,49.059561128526646,,
12,NB07,vol_5d,0.1508385174854478,0.1087397222146867,38.71473354231975,,
13,NB07,vol_5d,0.1546705694632035,0.1119300556289422,50.0,,
14,NB07,vol_5d,0.1502492921132253,0.1152005634432267,53.60501567398119,,
15,NB07,vol_5d,0.1554309421372547,0.1209250647960333,54.2319749216301,,
16,NB07,vol_5d,0.1561518743189299,0.121447051475398,53.91849529780565,,
17,NB07,vol_5d,0.1586919947369613,0.1156260956656227,44.827586206896555,,
18,NB07,vol_5d,0.3078369051036915,0.1404654441909571,45.45454545454545,,
19,NB07,vol_5d,0.3106505042926042,0.14276303880954,52.19435736677116,,
20,NB07,vol_5d,0.315154622397506,0.1514941172151,49.52978056426332,,
21,NB07,vol_5d,0.3174251833830584,0.155604787971999,52.82131661442007,,
22,NB07,vol_5d,0.3245688376181588,0.1588092045688773,48.11912225705329,,
23,NB07,vol_5d,0.3095176546986544,0.1491847142228111,44.043887147335425,,
24,NB07,vol_5d,0.1210925308337171,0.0884502335520544,41.06583072100313,,
25,NB07,vol_5d,0.1142717400588447,0.0871224220704635,48.11912225705329,,
26,NB07,vol_5d,0.1355507909161701,0.0976541367114089,52.03761755485894,,
27,NB07,vol_5d,0.1406915613326383,0.1022563804494758,53.13479623824452,,
28,NB07,vol_5d,0.1425835471261032,0.1036804701896032,51.09717868338558,,
29,NB07,vol_5d,0.1309312792982015,0.096336873050318,47.80564263322884,,
30,NB07,vol_5d,0.1475222163411681,0.1094967554023178,44.20062695924764,,
31,NB07,vol_5d,0.141790604779064,0.1008662470777831,49.059561128526646,,
32,NB07,vol_5d,0.168391080470161,0.1248886203438026,50.15673981191222,,
33,NB07,vol_5d,0.1751713274567322,0.1294492959958675,51.88087774294671,,
34,NB07,vol_5d,0.1750754843341254,0.1277815229290935,49.059561128526646,,
35,NB07,vol_5d,0.1748549056680474,0.1272090841872763,44.98432601880878,,
36,NB07,vol_5d,0.2100593115915291,0.131144687830369,46.23824451410658,,
37,NB07,vol_5d,0.2110085153546811,0.1323957594571385,49.52978056426332,,
38,NB07,vol_5d,0.2390606813747814,0.1607029233788772,53.29153605015674,,
39,NB07,vol_5d,0.2571816818280837,0.1663055379820739,53.60501567398119,,
40,NB07,vol_5d,0.2406154494184632,0.1607754744649719,55.01567398119123,,
41,NB07,vol_5d,0.2401036563236305,0.153258406851057,49.52978056426332,,
42,NB07,vol_5d,0.1398056599881551,0.1004115101641229,46.39498432601881,,
43,NB07,vol_5d,0.1374690571733187,0.0975742911278618,48.27586206896552,,
44,NB07,vol_5d,0.1462718824244461,0.1055354642796721,53.60501567398119,,
45,NB07,vol_5d,0.1550833852267872,0.112533578052177,54.2319749216301,,
46,NB07,vol_5d,0.1543510589730309,0.1123957350003479,54.54545454545454,,
47,NB07,vol_5d,0.1535128782975133,0.1111551678683991,47.17868338557994,,
48,NB07,vol_5d,0.109295732684996,0.087639576024398,47.64890282131661,,
49,NB07,vol_5d,0.1092774820694509,0.0937231673831236,50.626959247648905,,
50,NB07,vol_5d,0.1207518018182238,0.0988225077218825,50.626959247648905,,
51,NB07,vol_5d,0.1306991799653842,0.1054976145421353,50.626959247648905,,
52,NB07,vol_5d,0.1286799464311054,0.1033164187712825,47.80564263322884,,
53,NB07,vol_5d,0.1257263776560528,0.0991129121448246,48.27586206896552,,
54,NB07,vol_5d,0.1437349443765068,0.1047568968604153,47.64890282131661,,
55,NB07,vol_5d,0.1365291439766498,0.1004214981910648,49.21630094043887,,
56,NB07,vol_5d,0.1490158861040341,0.1060612593124466,52.35109717868338,,
57,NB07,vol_5d,0.1621336745478863,0.117139350928335,48.27586206896552,,
58,NB07,vol_5d,0.1577508612946389,0.1122425149892522,52.03761755485894,,
59,NB07,vol_5d,0.1652958370559224,0.1150635905339776,52.82131661442007,,
60,NB07,vol_5d,0.165148467002861,0.1244326388637027,46.39498432601881,,
61,NB07,vol_5d,0.1752541985315608,0.1313352179841211,50.470219435736674,,
62,NB07,vol_5d,0.1785220827173131,0.1410889830913152,56.112852664576806,,
63,NB07,vol_5d,0.1841702138325512,0.1459716096892603,52.03761755485894,,
64,NB07,vol_5d,0.1825744416369306,0.1418522041399026,54.54545454545454,,
65,NB07,vol_5d,0.182644786415418,0.1370924503454079,51.09717868338558,,
66,NB07,vol_5d,0.3030112681455034,0.2376723760598737,47.82608695652174,,
67,NB07,vol_5d,0.3094130931737978,0.253437166235371,53.72670807453416,,
68,NB07,vol_5d,0.3584750864900459,0.2945166006745069,54.037267080745345,,
69,NB07,vol_5d,0.3664953045414216,0.2893624127958271,52.79503105590062,,
70,NB07,vol_5d,0.362641908008001,0.2869364931201423,51.86335403726709,,
71,NB07,vol_5d,0.3464746143684624,0.2567170984393024,51.86335403726709,,
72,NB07,vol_5d,0.1395453889351093,0.0906356387444707,46.39498432601881,,
73,NB07,vol_5d,0.1384361186659843,0.0893973549885557,48.7460815047022,,
74,NB07,vol_5d,0.1483961425579141,0.0967890899232675,50.470219435736674,,
75,NB07,vol_5d,0.1528809581768215,0.0999823278603841,51.2539184952978,,
76,NB07,vol_5d,0.1606329501735941,0.1038336047004445,51.2539184952978,,
77,NB07,vol_5d,0.1498213335123588,0.0993001572789565,47.33542319749217,,
78,NB07,vol_5d,0.2574520386436836,0.1411507923184443,51.72413793103448,,
79,NB07,vol_5d,0.2547570467132384,0.1341802057017186,48.589341692789965,,
80,NB07,vol_5d,0.272198342493617,0.149819962136099,51.88087774294671,,
81,NB07,vol_5d,0.2679506104276251,0.1526123711705206,49.059561128526646,,
82,NB07,vol_5d,0.2780637171453494,0.1552421879531359,50.15673981191222,,
83,NB07,vol_5d,0.2759049072027873,0.1598737883191664,50.0,,
84,NB07,vol_5d,0.2126155303399947,0.1581864838289817,45.98540145985402,,
85,NB07,vol_5d,0.2311843493468557,0.1978356111651573,44.038929440389296,,
86,NB07,vol_5d,0.2457045164897111,0.1964636351508143,53.28467153284672,,
87,NB07,vol_5d,0.2642624514327236,0.2108312242716311,49.39172749391727,,
88,NB07,vol_5d,0.2456631865068757,0.1938228998193694,49.87834549878345,,
