,H_RS,d_GPH,se_GPH,p_GPH,figarch_eligible,reason
NVDA,0.7869625340206468,0.12418213467420885,0.0812886975497319,0.13315844999049542,False,No long memory
AVGO,0.7963869843913327,0.17913491136055557,0.0741602849552833,0.019569353824431035,True,Eligible
TSM,0.8591807735286171,0.20830249920695737,0.06995711307736444,0.004543618364053703,True,Eligible
SNPS,0.8641188935458208,0.08612684008750028,0.05884963806270617,0.14984701942240441,False,No long memory
MSFT,0.8777388155581771,0.14960227965963185,0.048896878563081884,0.003621611515835621,True,Eligible
AMZN,0.8780666026409304,0.35224768921402716,0.07728590889764854,3.569285335092154e-05,True,Eligible
META,0.9073002469936452,0.16493523918866573,0.09430331977217243,0.08668577620282347,False,No long memory
GOOG,0.8831981722610026,0.2094386632934205,0.06380355714159314,0.0019227448705623207,True,Eligible
AAPL,0.8719842737944754,0.14945141378813956,0.07443039134349594,0.05029625194298104,False,No long memory
CRM,0.8981895861715697,0.17468446404649726,0.0827697382526029,0.04005288925811312,True,Eligible
NOW,0.8783821395916307,0.313406721983337,0.09190934285003288,0.0013257921832134922,True,Eligible
PLTR,0.7896223027836126,0.13941818766355085,0.1280176688019766,0.2837892117718013,False,<1500 obs
SAP,0.8185746961632893,0.05801360921803686,0.10732897839313084,0.5913369769004095,False,No long memory
PANW,0.7108298802794648,-0.03885185610918046,0.12053232111939285,0.7485982588927842,False,No long memory
CRWD,0.8181374609342201,0.2546989544079599,0.10707304822593652,0.022364306003341605,True,Eligible
DDOG,0.8650511436696392,0.19623724994252864,0.09266955317262394,0.040809630011256814,True,Eligible
XYZ,0.686151613584012,0.1661883897269298,0.12082280619502057,0.19059502380828186,False,<1500 obs
ANET,0.7876240885044228,0.09146569348618641,0.09981599430189197,0.3640680579962243,False,No long memory
MU,0.7804976785987874,0.21726626550406228,0.07945350921413341,0.00872549443886883,True,Eligible
AMD,0.7222646913913827,0.229725995182409,0.09343640369085127,0.01760476168371694,True,Eligible
