ticker,MES
MU,-0.06760325187452904
ANET,-0.061551538171766534
XYZ,-0.059712970507199196
DDOG,-0.05778719714416094
AVGO,-0.055169356507067
NVDA,-0.05432331214151857
PLTR,-0.05366931626217924
CRWD,-0.05359305531045717
AMD,-0.05081527525814108
NOW,-0.048704331115838016
SNPS,-0.04673902110988461
TSM,-0.04284950545558825
PANW,-0.03958040486197071
SAP,-0.039390904891510176
CRM,-0.03460319379554954
AMZN,-0.03296871609519669
MSFT,-0.030562703823504216
META,-0.02270400076458821
GOOG,-0.022573499652998534
AAPL,-0.01964945033153594
